,gamma,epsilon,time,iterations,reward,average_steps,steps_stddev,success_pct,policy,mean_rewards,max_rewards,error
10,0.2,1e-05,0.0003142356872558594,6.0,0.3589895198902606,20.00990099009901,12.426413141150324,20.19999999999999,"[[1 2 0 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.024999999999999994, 0.02574074074074074, 0.025876543209876545, 0.025901646090534976, 0.02590631001371742)","(0.3333333333333333, 0.3555555555555555, 0.3585185185185185, 0.35891358024691355, 0.3589794238683127, 0.3589895198902606)","(0.3333333333333333, 0.022222222222222223, 0.0029629629629630005, 0.0005925925925925925, 8.559670781893005e-05, 1.580246913580538e-05)"
11,0.2,1e-07,0.000560760498046875,9.0,0.35899157590204744,30.004555808656036,18.97798694161804,43.89999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.024999999999999994, 0.02574074074074074, 0.025876543209876545, 0.025901646090534976, 0.02590631001371742, 0.025907182441700958, 0.025907346075293398, 0.0259073768754763)","(0.3333333333333333, 0.3555555555555555, 0.3585185185185185, 0.35891358024691355, 0.3589794238683127, 0.3589895198902606, 0.35899124645633285, 0.3589915273891175, 0.35899157590204744)","(0.3333333333333333, 0.022222222222222223, 0.0029629629629630005, 0.0005925925925925925, 8.559670781893005e-05, 1.580246913580538e-05, 2.487425697302731e-06, 4.4676116445555025e-07, 7.530559365930695e-08)"
12,0.2,1e-10,0.0015883445739746094,13.0,0.35899158579281853,30.443935926773456,19.99450018374366,43.7,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.024999999999999994, 0.02574074074074074, 0.025876543209876545, 0.025901646090534976, 0.02590631001371742, 0.025907182441700958, 0.025907346075293398, 0.0259073768754763, 0.025907382681637284, 0.02590738377812777, 0.025907383985383132, 0.025907384024595866)","(0.3333333333333333, 0.3555555555555555, 0.3585185185185185, 0.35891358024691355, 0.3589794238683127, 0.3589895198902606, 0.35899124645633285, 0.3589915273891175, 0.35899157590204744, 0.3589915840785788, 0.3589915855034745, 0.35899158574949297, 0.35899158579281853)","(0.3333333333333333, 0.022222222222222223, 0.0029629629629630005, 0.0005925925925925925, 8.559670781893005e-05, 1.580246913580538e-05, 2.487425697302731e-06, 4.4676116445555025e-07, 7.530559365930695e-08, 1.319690426729303e-08, 2.367696884473386e-09, 4.2251674221512915e-10, 7.939337756017809e-11)"
13,0.2,1e-12,0.0008416175842285156,15.0,0.3589915858017954,28.460496613995485,19.757220510020918,44.3,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.024999999999999994, 0.02574074074074074, 0.025876543209876545, 0.025901646090534976, 0.02590631001371742, 0.025907182441700958, 0.025907346075293398, 0.0259073768754763, 0.025907382681637284, 0.02590738377812777, 0.025907383985383132, 0.025907384024595866, 0.02590738403201905, 0.025907384033425088)","(0.3333333333333333, 0.3555555555555555, 0.3585185185185185, 0.35891358024691355, 0.3589794238683127, 0.3589895198902606, 0.35899124645633285, 0.3589915273891175, 0.35899157590204744, 0.3589915840785788, 0.3589915855034745, 0.35899158574949297, 0.35899158579281853, 0.3589915858004382, 0.3589915858017954)","(0.3333333333333333, 0.022222222222222223, 0.0029629629629630005, 0.0005925925925925925, 8.559670781893005e-05, 1.580246913580538e-05, 2.487425697302731e-06, 4.4676116445555025e-07, 7.530559365930695e-08, 1.319690426729303e-08, 2.367696884473386e-09, 4.2251674221512915e-10, 7.939337756017809e-11, 1.512335550302342e-11, 2.8555891375472986e-12)"
14,0.3,0.1,3.8623809814453125e-05,1.0,0.3333333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","(0.020833333333333332,)","(0.3333333333333333,)","(0.3333333333333333,)"
15,0.3,0.01,0.00020956993103027344,3.0,0.3733333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665)"
16,0.3,0.001,0.00030732154846191406,4.0,0.37466666666666665,19.334763948497855,10.13723184994172,23.299999999999997,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087)"
17,0.3,1e-05,0.0011210441589355469,8.0,0.3751011333333333,28.958424507658645,19.245063026904038,45.699999999999996,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06)"
18,0.3,1e-07,0.0006029605865478516,11.0,0.3751027731666666,29.68243243243243,18.347264750174674,44.39999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663, 0.029384356041666664, 0.02938457925, 0.029384642479166667)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333, 0.3751023766666666, 0.375102691, 0.3751027731666666)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06, 1.930000000000681e-06, 5.073333333369123e-07, 1.3653333333536743e-07)"
19,0.3,1e-10,0.0011773109436035156,17.0,0.37510280208192764,28.624724061810156,17.92652425103581,45.3,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663, 0.029384356041666664, 0.02938457925, 0.029384642479166667, 0.02938466040625, 0.02938466549395833, 0.029384666938654165, 0.029384667349117707, 0.02938466746578029, 0.02938466749894978)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333, 0.3751023766666666, 0.375102691, 0.3751027731666666, 0.37510279444666667, 0.37510280006799995, 0.37510280155093334, 0.37510280194713996, 0.37510280205325397, 0.37510280208192764)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06, 1.930000000000681e-06, 5.073333333369123e-07, 1.3653333333536743e-07, 3.6546666666711566e-08, 1.0301000000038918e-08, 2.943299999991905e-09, 8.336299999909744e-10, 2.375326666045549e-10, 6.778816665441688e-11)"
20,0.3,1e-12,0.0013887882232666016,20.0,0.3751028020924122,28.109170305676855,18.18563552604857,45.8,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663, 0.029384356041666664, 0.02938457925, 0.029384642479166667, 0.02938466040625, 0.02938466549395833, 0.029384666938654165, 0.029384667349117707, 0.02938466746578029, 0.02938466749894978, 0.029384667508382846, 0.02938466751106611, 0.029384667511829488)","(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333, 0.3751023766666666, 0.375102691, 0.3751027731666666, 0.37510279444666667, 0.37510280006799995, 0.37510280155093334, 0.37510280194713996, 0.37510280205325397, 0.37510280208192764, 0.3751028020897058, 0.37510280209182983, 0.3751028020924122)","(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06, 1.930000000000681e-06, 5.073333333369123e-07, 1.3653333333536743e-07, 3.6546666666711566e-08, 1.0301000000038918e-08, 2.943299999991905e-09, 8.336299999909744e-10, 2.375326666045549e-10, 6.778816665441688e-11, 1.9660860003305018e-11, 5.689978666728081e-12, 1.642128002587312e-12)"
21,0.4,0.1,9.226799011230469e-05,1.0,0.3333333333333333,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","(0.020833333333333332,)","(0.3333333333333333,)","(0.3333333333333333,)"
22,0.4,0.01,0.0007791519165039062,3.0,0.3896296296296296,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853)"
23,0.4,0.001,0.0002703666687011719,5.0,0.39384362139917695,19.91780821917808,9.73496277439867,21.89999999999999,"[[0 1 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626, 0.03321604938271605, 0.033617695473251025)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296, 0.3927901234567901, 0.39384362139917695)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853, 0.00474074074074074, 0.0013695473251028878)"
24,0.4,1e-05,0.0015480518341064453,10.0,0.3943297594206845,30.030042918454935,19.971846031444798,46.599999999999994,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626, 0.03321604938271605, 0.033617695473251025, 0.03376694101508916, 0.03382277640603566, 0.03384372150586801, 0.03385160635269013, 0.03385457910711443)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296, 0.3927901234567901, 0.39384362139917695, 0.3941666941015089, 0.3942771943301326, 0.39431315372656606, 0.39432557303663057, 0.3943297594206845)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853, 0.00474074074074074, 0.0013695473251028878, 0.000505679012345675, 0.00015919524462734702, 5.718542905044921e-05, 1.927823197683115e-05, 6.75681498417402e-06)"
25,0.4,1e-07,0.003181934356689453,14.0,0.3943319622415057,28.0,16.88686697841267,42.7,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626, 0.03321604938271605, 0.033617695473251025, 0.03376694101508916, 0.03382277640603566, 0.03384372150586801, 0.03385160635269013, 0.03385457910711443, 0.033855701913371374, 0.033856126372364945, 0.03385628698771388, 0.03385634779841297)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296, 0.3927901234567901, 0.39384362139917695, 0.3941666941015089, 0.3942771943301326, 0.39431315372656606, 0.39432557303663057, 0.3943297594206845, 0.3943312185138896, 0.3943317223597866, 0.39433189982129885, 0.3943319622415057)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853, 0.00474074074074074, 0.0013695473251028878, 0.000505679012345675, 0.00015919524462734702, 5.718542905044921e-05, 1.927823197683115e-05, 6.75681498417402e-06, 2.4245216097354416e-06, 8.653142880578855e-07, 3.251952747644789e-07, 1.2389052871401504e-07)"
26,0.4,1e-10,0.0018570423126220703,21.0,0.39433199687924236,28.5158371040724,20.121260740856155,44.199999999999996,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626, 0.03321604938271605, 0.033617695473251025, 0.03376694101508916, 0.03382277640603566, 0.03384372150586801, 0.03385160635269013, 0.03385457910711443, 0.033855701913371374, 0.033856126372364945, 0.03385628698771388, 0.03385634779841297, 0.03385637083493442, 0.033856379564902145, 0.03385638287437352, 0.03385638412927974, 0.03385638460522811, 0.033856384785770875, 0.03385638485426643)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296, 0.3927901234567901, 0.39384362139917695, 0.3941666941015089, 0.3942771943301326, 0.39431315372656606, 0.39432557303663057, 0.3943297594206845, 0.3943312185138896, 0.3943317223597866, 0.39433189982129885, 0.3943319622415057, 0.39433198447788587, 0.3943319924184935, 0.39433199527939905, 0.3943319963141494, 0.3943319966908945, 0.3943319968286294, 0.39433199687924236)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853, 0.00474074074074074, 0.0013695473251028878, 0.000505679012345675, 0.00015919524462734702, 5.718542905044921e-05, 1.927823197683115e-05, 6.75681498417402e-06, 2.4245216097354416e-06, 8.653142880578855e-07, 3.251952747644789e-07, 1.2389052871401504e-07, 4.6785971054372905e-08, 1.777478652285891e-08, 6.763533949322598e-09, 2.6155379937624693e-09, 1.0092712381983004e-09, 3.883676095019044e-10, 1.491886916196901e-10)"
27,0.4,1e-12,0.0013110637664794922,26.0,0.3943319969087072,29.08656036446469,19.82283207093314,43.89999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.029166666666666667, 0.032129629629629626, 0.03321604938271605, 0.033617695473251025, 0.03376694101508916, 0.03382277640603566, 0.03384372150586801, 0.03385160635269013, 0.03385457910711443, 0.033855701913371374, 0.033856126372364945, 0.03385628698771388, 0.03385634779841297, 0.03385637083493442, 0.033856379564902145, 0.03385638287437352, 0.03385638412927974, 0.03385638460522811, 0.033856384785770875, 0.03385638485426643, 0.03385638488025559, 0.03385638489011752, 0.03385638489386002, 0.03385638489528034, 0.033856384895819394)","(0.3333333333333333, 0.37777777777777777, 0.3896296296296296, 0.3927901234567901, 0.39384362139917695, 0.3941666941015089, 0.3942771943301326, 0.39431315372656606, 0.39432557303663057, 0.3943297594206845, 0.3943312185138896, 0.3943317223597866, 0.39433189982129885, 0.3943319622415057, 0.39433198447788587, 0.3943319924184935, 0.39433199527939905, 0.3943319963141494, 0.3943319966908945, 0.3943319968286294, 0.39433199687924236, 0.39433199689791093, 0.3943319969048243, 0.39433199690739257, 0.39433199690834964, 0.3943319969087072)","(0.3333333333333333, 0.04444444444444445, 0.011851851851851853, 0.00474074074074074, 0.0013695473251028878, 0.000505679012345675, 0.00015919524462734702, 5.718542905044921e-05, 1.927823197683115e-05, 6.75681498417402e-06, 2.4245216097354416e-06, 8.653142880578855e-07, 3.251952747644789e-07, 1.2389052871401504e-07, 4.6785971054372905e-08, 1.777478652285891e-08, 6.763533949322598e-09, 2.6155379937624693e-09, 1.0092712381983004e-09, 3.883676095019044e-10, 1.491886916196901e-10, 5.720448290405522e-11, 2.190577916543618e-11, 8.37791912667446e-12, 3.2010209370311737e-12, 1.221935584400785e-12)"
28,0.5,0.1,9.703636169433594e-05,2.0,0.38888888888888884,,,0.0,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 1 0]]","(0.020833333333333332, 0.03125)","(0.3333333333333333, 0.38888888888888884)","(0.3333333333333333, 0.05555555555555555)"
29,0.5,0.01,0.00037097930908203125,4.0,0.4135802469135802,19.03125,9.022981880117491,22.39999999999999,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.03125, 0.03587962962962962, 0.03800154320987654)","(0.3333333333333333, 0.38888888888888884, 0.4074074074074074, 0.4135802469135802)","(0.3333333333333333, 0.05555555555555555, 0.018518518518518545, 0.009259259259259273)"
30,0.5,0.001,0.0007584095001220703,7.0,0.4175597279378143,29.166301969365428,21.113186741396614,45.699999999999996,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.03125, 0.03587962962962962, 0.03800154320987654, 0.03898212448559671, 0.03943758573388202, 0.039650580847050754)","(0.3333333333333333, 0.38888888888888884, 0.4074074074074074, 0.4135802469135802, 0.4161522633744856, 0.4171382030178326, 0.4175597279378143)","(0.3333333333333333, 0.05555555555555555, 0.018518518518518545, 0.009259259259259273, 0.0033436213991769603, 0.0015432098765432167, 0.0006072816643804269)"
31,0.5,1e-05,0.0011146068572998047,13.0,0.41785844835766495,27.909691629955947,17.949592743028763,45.4,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.03125, 0.03587962962962962, 0.03800154320987654, 0.03898212448559671, 0.03943758573388202, 0.039650580847050754, 0.0397504548658741, 0.039797452215268245, 0.03981960096170129, 0.03983005790984147, 0.0398349992628753, 0.039837336523817386)","(0.3333333333333333, 0.38888888888888884, 0.4074074074074074, 0.4135802469135802, 0.4161522633744856, 0.4171382030178326, 0.4175597279378143, 0.41773119570187467, 0.4178052205583498, 0.4178364115501532, 0.4178500004145568, 0.4178558659527821, 0.41785844835766495)","(0.3333333333333333, 0.05555555555555555, 0.018518518518518545, 0.009259259259259273, 0.0033436213991769603, 0.0015432098765432167, 0.0006072816643804269, 0.00027268137479043164, 0.00011490721688767191, 5.034219461801104e-05, 2.258011707790067e-05, 1.0073584132574108e-05, 4.732214071035551e-06)"
32,0.5,1e-07,0.001758575439453125,19.0,0.4178604835624883,29.746203904555315,20.020234116835727,46.099999999999994,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.03125, 0.03587962962962962, 0.03800154320987654, 0.03898212448559671, 0.03943758573388202, 0.039650580847050754, 0.0397504548658741, 0.039797452215268245, 0.03981960096170129, 0.03983005790984147, 0.0398349992628753, 0.039837336523817386, 0.039838442663990004, 0.03983896645384523, 0.03983921457445129, 0.03983933215049347, 0.039839387879524735, 0.03983941429996625)","(0.3333333333333333, 0.38888888888888884, 0.4074074074074074, 0.4135802469135802, 0.4161522633744856, 0.4171382030178326, 0.4175597279378143, 0.41773119570187467, 0.4178052205583498, 0.4178364115501532, 0.4178500004145568, 0.4178558659527821, 0.41785844835766495, 0.4178595837746125, 0.4178600893713623, 0.41786031505700416, 0.41786041669678753, 0.41786046264893395, 0.4178604835624883)","(0.3333333333333333, 0.05555555555555555, 0.018518518518518545, 0.009259259259259273, 0.0033436213991769603, 0.0015432098765432167, 0.0006072816643804269, 0.00027268137479043164, 0.00011490721688767191, 5.034219461801104e-05, 2.258011707790067e-05, 1.0073584132574108e-05, 4.732214071035551e-06, 2.2535555893078707e-06, 1.0637898197694146e-06, 5.051898177496628e-07, 2.4028899578681234e-07, 1.1615322009750871e-07, 5.6025808333566227e-08)"
33,0.5,1e-10,0.002172708511352539,28.0,0.41786050126819974,29.373333333333335,20.95228865780538,44.99999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.020833333333333332, 0.03125, 0.03587962962962962, 0.03800154320987654, 0.03898212448559671, 0.03943758573388202, 0.039650580847050754, 0.0397504548658741, 0.039797452215268245, 0.03981960096170129, 0.03983005790984147, 0.0398349992628753, 0.039837336523817386, 0.039838442663990004, 0.03983896645384523, 0.03983921457445129, 0.03983933215049347, 0.039839387879524735, 0.03983941429996625, 0.03983942682763768, 0.039839432768680065, 0.03983943558643025, 0.039839436922970685, 0.039839437556975194, 0.039839437857740245, 0.0398394380004262, 0.03983943806812011, 0.03983943810023664)","(0.3333333333333333, 0.38888888888888884, 0.4074074074074074, 0.4135802469135802, 0.4161522633744856, 0.4171382030178326, 0.4175597279378143, 0.41773119570187467, 0.4178052205583498, 0.4178364115501532, 0.4178500004145568, 0.4178558659527821, 0.41785844835766495, 0.4178595837746125, 0.4178600893713623, 0.41786031505700416, 0.41786041669678753, 0.41786046264893395, 0.4178604835624883, 0.41786049311976553, 0.4178604975097413, 0.4178604995337924, 0.41786050047072654, 0.41786050090581245, 0.41786050110847683, 0.4178605012031198, 0.41786050124742136, 0.41786050126819974)","(0.3333333333333333, 0.05555555555555555, 0.018518518518518545, 0.009259259259259273, 0.0033436213991769603, 0.0015432098765432167, 0.0006072816643804269, 0.00027268137479043164, 0.00011490721688767191, 5.034219461801104e-05, 2.258011707790067e-05, 1.0073584132574108e-05, 4.732214071035551e-06, 2.2535555893078707e-06, 1.0637898197694146e-06, 5.051898177496628e-07, 2.4028899578681234e-07, 1.1615322009750871e-07, 5.6025808333566227e-08, 2.6948416381646773e-08, 1.2940056284523396e-08, 6.2021224629584676e-09, 2.9687866735274293e-09, 1.4192747044890902e-09, 6.778425555228895e-10, 3.2344366659824153e-10, 1.5422331662608146e-10, 7.34878713871262e-11)"
